From	To
A0A060GYS1	4PCP
A0A060GYS1	5WCR
A0A060GYS1	5WIZ
A0A060GYS1	5WMS
A0A060GYS1	6B2F
A5H7H0	3ST1
D4Z2G1	1CV2
D4Z2G1	1D07
D4Z2G1	1G42
D4Z2G1	1G4H
D4Z2G1	1G5F
D4Z2G1	1IZ7
D4Z2G1	1IZ8
D4Z2G1	1K5P
D4Z2G1	1K63
D4Z2G1	1K6E
D4Z2G1	1MJ5
D4Z2G1	2BFN
D4Z2G1	4WDQ
D4Z2G1	4WDR
D4Z2G1	5LKA
D4Z2G1	6S06
E5BBQ3	4CG1
E5BBQ3	4CG2
E5BBQ3	4CG3
O00095	1H8V
O00095	1OA2
O00095	1OLQ
O00189	3L81
O00189	4MDR
O15020	1WJM
O15020	1WYQ
O15020	6ANU
O25949	4G3H
O49003	2V0U
O49003	2V0W
O49003	2V1A
O49003	2V1B
O49003	2WKP
O49003	2WKQ
O49003	2WKR
O49003	4WF0
O49003	5EFW
O49003	5HZH
O49003	5HZI
O49003	5HZJ
O49003	5HZK
O49003	6NTP
O60880	1D1Z
O60880	1D4T
O60880	1D4W
O60880	1KA6
O60880	1KA7
O60880	1M27
O60885	2I8N
O60885	2LSP
O60885	2MJV
O60885	2N3K
O60885	2NCZ
O60885	2ND0
O60885	2ND1
O60885	2NNU
O60885	2OSS
O60885	2OUO
O60885	2YEL
O60885	2YEM
O60885	3MXF
O60885	3P5O
O60885	3SVF
O60885	3SVG
O60885	3U5J
O60885	3U5K
O60885	3U5L
O60885	3UVW
O60885	3UVX
O60885	3UVY
O60885	3UW9
O60885	3ZYU
O60885	4A9L
O60885	4BJX
O60885	4BW1
O60885	4BW2
O60885	4BW3
O60885	4BW4
O60885	4C66
O60885	4C67
O60885	4CFK
O60885	4CFL
O60885	4CL9
O60885	4CLB
O60885	4DON
O60885	4E96
O60885	4F3I
O60885	4GPJ
O60885	4HBV
O60885	4HBW
O60885	4HBX
O60885	4HBY
O60885	4HXK
O60885	4HXL
O60885	4HXM
O60885	4HXN
